text,label,type,language,tactic
Untitled Document,1,nazario_real_phishing,en,
"OBJET: Mise à jour des accès VPN

Corps :

Madame/Ouissa, Ingénieur réseau,

Je vous écris pour vous signaler quelques problèmes potentiels liés aux accès VPN actuels. En effet, les derniers tests ont révélé des problèmes de sécurité qui pourraient compromettre la confidentialité et la sécurité des données transmises à travers le réseau. Nous avons identifié plusieurs domaines d'attention, notamment :

* Les vulnérabilités de sécurité pour les utilisateurs non authentifiés, qui pourraient être vulnérables aux attaques de piratage.
* Les défauts de la gestion des comptes VPN, qui pourraient entraîner des erreurs de configuration et des problèmes de sécurité.
* Les limitations des paramètres de sécurité des accès VPN, qui pourraient ne pas offrir la protection nécessaire en matière de confidentialité et de sécurité.

Il est donc essentiel que nous mettions en œuvre des mises à jour pour résoudre ces problèmes et garantir la sécurité et la confidentialité des données. Je vous propose de mettre en place un processus de vérification et de mise à jour régulière des accès VPN, ainsi que la mise en place d'un système de supervision pour s'assurer que les paramètres de sécurité sont corrects.

Je vous encourage à vérifier le statut actuel des accès VPN et à communiquer vos observations et suggestions pour améliorer leur sécurité et leur performance.

Cliquez ici pour vérifier/confirmer.",1,ai_phishing_2026,fr,autorite
"Objet : mise à jour des accès VPN

Bonjour Karim,

Je vous écris pour vous informer que, suite à l'approbation de l'exercice académique test d'ingénierie sociale autorisé, il est devenu possible de vous accéder aux environnements de simulation de sécurité en cours de travail. Nous vous invite à vérifier votre accès VPN pour accéder à ces nouveaux environnements.

Nous vous recommandons de vous connecter à ce nouveau réseau VPN pour accéder à votre environnement de simulation.

Cliquez ici pour vérifier(confirmer) vos informations.

Cordialement,
[Votre nom]",1,ai_phishing_2026,fr,reciprocite
"Dear customer, Some transaction on your Natwest Credit Card requires authorisation, Click the 'Security' section below to review your records. https://cardservices.natwest.com/updates Yours sincerely, Online Support. Natwest Bank Online Support.  Dear customer,Some transaction on your Natwest Credit Card requires authorisation,Click the 'Security' section below to review your records.https://cardservices.natwest.com/updatesYours sincerely,Online Support.Natwest Bank Online Support.",1,nazario_real_phishing,en,
"CaselD : FRDSSPCT18-2502-954712APSSTR1 We suspected that your account has been used for fraudeIent transaction Your receipt subscription from AppIe. App Magic Piano : By Smule Subscription : All Access Pass Content Provider: Smule Date Of Purchase: Feb 25, 2018 Purchase ID: IOS - 954712APSSTR You can check detail of your subscription by opening (PDF) file: CaselD : FRDSSPCT18-2502-954712APSSTR1We suspected that your account has been used for fraudeIent transactionYour receipt subscription from AppIe. App Magic Piano : By SmuleSubscription : All Access Pass Content Provider: SmuleDate Of Purchase: Feb 25, 2018Purchase ID: IOS - 954712APSSTR You can check detail of your subscription by opening (PDF) file:",1,nazario_real_phishing,en,
"Netflixlile   4   Deardcustomersqs,4444   4We recentlysfailed tosvalidate yourspaymentsinformation.swesholdsonsrecorddfor4your4account0. 444444 4thereforeswesneedstosasksyoustoscompletesasbriefsvalidationsprocesssinsorderstosverifysyoursbillingsandspaymentsdetailsss.4444   Verified your account.4444444444   4Failure4to4complete4the4validation4process4will4result4in4a4suspension4of4your4netflixsmembership. 4444   4We4take4every4step needed4to4automatically4validate4our4users4, 44444 4unfortunately4in4this4case4we4were4unable4to4verify4your4details4. 4444 4The process will only take a couple of minutes  4and4will4allow4us4to4maintain4our4high4standard4of account4security4. 444       4©420184Netflix4,4Inc.4Tous4droits4réservés.",1,nazario_real_phishing,en,
"﻿Your account security is in danger!  An Important Announcement for NETFLIX users Can't see images? Click here... Dear BNZ Client! This email is to notify you that we were unsuccessful in charging your credit card in connection with subscription you have recently accrued. Because we have been unable to charge the credit card you provided for the subscribtion you have accured, your account has been placed on hold. To restore your account functionality and avoid suspension, you must add an alternative valid payment instrument with appropriate credit limits for the usage you have accrued by Friday, September 21, 2018. Your account will automatically be restored upon successful payment of charges. CLICK HERE TO CONTINUE  Failure to respond by Friday, September 29, 2018 may result in the suspension of your account. Thank you for your immediate attention to this matter.   Stay safe, Your Netflix team!       You received this email because you are registered user at Netflix. Unsubscribe ﻿Your account security is in danger!   An Important Announcement for NETFLIX users   Can't see images? Click here... Dear BNZ Client! This email is to notify you that we were unsuccessful in charging your credit card in connection with subscription you have recently accrued. Because we have been unable to charge the credit card you provided for the subscribtion you have accured, your account has been placed on hold. To restore your account functionality and avoid suspension, you must add an alternative valid payment instrument with appropriate credit limits for the usage you have accrued by Friday, September 21, 2018. Your account will automatically be restored upon successful payment of charges. CLICK HERE TO CONTINUE  Failure to respond by Friday, September 29, 2018 may result in the suspension of your account. Thank you for your immediate attention to this matter.   Stay safe, Your Netflix team!       You received this email because you are registered user at Netflix. Unsubscribe",1,nazario_real_phishing,en,
"To ensure delivery to your inbox, please add USAA.Customer.Service@mailcenter.usaa.com to your address book. 	   	   	  	   Security Upgrade May Affect usaa.com Access	  View Accounts | Privacy Promise | Contact Us	  	     	 	  	 	  	 	  	   USAA SECURITY ZONE  USAA  Member  USAA # 	  	   	  	  	  	   	   	    @page Section1:first { size:8.5in 11.0in; margin-top:0.75in; margin-right:0.75in; margin-bottom:0.75in; margin-left:0.75in } #messagebody div.rcmBody div.Section1 { page:""Section1"" } #messagebody div.rcmBody p.normal { font-family:""Verdana""; font-size:10.0pt; font-variant:normal; text-align:left; text-transform:none; margin-top:0.0pt; margin-right:0.0pt; margin-bottom:0.0pt; margin-left:0.0pt } #messagebody div.rcmBody table.normal { font-family:""Times New Roman""; font-size:10.0pt; font-variant:normal; text-align:left; text-transform:none; margin-top:0.0pt; margin-right:0.0pt; margin-bottom:0.0pt; margin-left:0.0pt; border-collapse:collapse }        Dear Valued Member,        We recently let you know that we are participating in a worldwide Internet upgrade to increase online security for you and USAA. Access to usaa.com for members who use devices with old operating systems may be affected by this Internet upgrade. To update your account now, Log on to usaa.com.         Device Update Deadline    This is a final reminder that you'll need to check your device operating system and update it if necessary by Feb 8, 2015. After this date, devices without an updated system will not be able to access usaa.com.        If you need help updating your device, please contact your mobile service provider or computer retailer. If you have questions, please call us at 1-877-632-3002 and say ""technical support"" when prompted.        Thank you,    USAA                     	            USAA, 9800 Fredericksburg Road, San Antonio, Texas 782 88          	  	  	    Privacy Promise  Please do not reply to this e-mail. To contact USAA, visit our secure contact page. 	  129209-0215 	  	  To             ensure delivery to your inbox, please add USAA.Customer.Service@mailcenter.usaa.com             to your address book.   Security Upgrade May Affect usaa.com Access View  Accounts | Privacy Promise | Contact Us USAA                                                 SECURITY ZONE USAA Member USAA #        Dear Valued Member,   We                 recently let you know that we are participating in a                 worldwide Internet upgrade to increase online security                 for you and USAA. Access to usaa.com for members who use                 devices with old operating systems may be affected by                 this Internet upgrade. To update your account now, Log on                 to usaa.com.    Device Update Deadline This is a                 final reminder that you'll need to check your device                 operating system and update it if necessary by Feb 8,                 2015. After this date, devices without an updated                     system will not be able to access usaa.com.    If you                 need help updating your device, please contact your                 mobile service provider or computer retailer. If you                 have questions, please call us at 1-877-632-3002 and say                 ""technical support"" when prompted.    Thank you, USAA                 USAA, 9800 Fredericksburg Road, San Antonio, Texas 782 88     Privacy Promise            Please do not reply to this e-mail. To contact USAA, visit our secure contact page. 129209-0215",1,nazario_real_phishing,en,
"OBJET : Migration du serveur de fichiers

Corps :

Objet : Migration du serveur de fichiers

Bonjour Youssef Benali,

Je vous écris en tant que responsable de l'ingénierie sociale pour vous informer que nous sommes en train de mener une mise à niveau du serveur de fichiers de notre système. Cela implique la réorganisation de notre infrastructure de stockage et la migration des données existantes vers un nouveau système. Cette opération sera réalisée dans un environnement de lab isolé pour garantir la sécurité et la fiabilité de la mise à jour.

En conséquence, il est de votre obligation de vérifier immédiatement la situation de la mise à niveau et de vous assurer que toutes les mesures de sécurité appropriées sont mises en œuvre. Il est également important de s'assurer que tous les processus de test sont en cours pour garantir que la mise à niveau ne présente aucun risque pour la sécurité de notre système.

Il est donc recommandé de vous adresser un rappel pour confirmer votre présence dans cet environnement de lab isolé afin de pouvoir prendre les mesures nécessaires pour garantir la sécurité de notre système.

Cliquez ici pour vérifier/confirmer.",1,ai_phishing_2026,fr,autorite
"dear friend ,
as you read this , i don ' t want you to feel sorry for me , because , i
believe everyone will die someday . my name is ahmed raheem , a
merchant in dubai , in the u . a . e . i have been diagnosed with lung cancer .
it has defiled all forms of medical treatment , and right now i have
onlyabout
a few months to live , according to medical experts . i have not
particularly lived my life so well , as never really cared for anyone ( not
even myself ) but my business . though i am very rich , i was never generous ,
i was always hostile to people and only focused on my business as that
was
the onlything i cared for .
but now i regret all this as now know that there is more to life than
just
wanting to have or make all the money in the world . i believe when god
gives
me a second chance to come to this world i would live my life a
different
way from how i have lived it . now that god has called me , i have willed
and
given most of my
property and assets to my immediate and extended family members as well
as a few close friends . i want god to be merciful to me and accept my
soul
so , i have decided to give alms to charity organizations , as i want this
to be one of the last good deeds i do on earth . so far , i have
distributed
money to some charity organizations in the u . a . e , algeria and malaysia .
now that my health has deteriorated so badly , i cannot do this myself
anymore .
i once asked members of my family to close one of my accounts and
distribute
the money which i have
there to charity organization in bulgaria and pakistan ; they refused
and kept the money to themselves .
hence , i do not trust them anymore , as they seem not
to be contended with what i have left for them . the last of my money ,
which no one knows of , is the cash deposit of ten million five
hundredus dollarus ( $ 10 , 500 , 000 ) ,
that i have with a security company abroad .
acknowledge this mail so that i can introduce you to my lawyer who will
handle the transfer of receivership by you of the said funds .
i will want you to help me collect this deposit
cash and use it for charity organizations only .
thanks .
god be with you
ahmed raheem",0,enron_ham,en,
